"No.","Time","Source","Destination","Protocol","Length","Name","DNS Query"
"12","0.020466","172.16.1.66","172.16.1.4","DNS","136","_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online","Standard query 0xe971 SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online"
"14","0.023009","172.16.1.66","172.16.1.4","DNS","100","wireshark-ws-dc.wiresharkworkshop.online","Standard query 0xe494 A wireshark-ws-dc.wiresharkworkshop.online"
"26","0.027309","172.16.1.66","224.0.0.251","MDNS","81","DESKTOP-SKBR25F.local","Standard query 0x0000 ANY DESKTOP-SKBR25F.local, ""QM"" question"
"28","0.027725","172.16.1.66","224.0.0.252","LLMNR","75","DESKTOP-SKBR25F","Standard query 0x4991 ANY DESKTOP-SKBR25F"
"32","0.139134","172.16.1.66","172.16.1.4","DNS","136","_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online","Standard query 0x8d0b SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online"
"201","0.293771","172.16.1.66","172.16.1.4","DNS","100","WIRESHARK-WS-DC.wiresharkworkshop.online","Standard query 0xb304 A WIRESHARK-WS-DC.wiresharkworkshop.online"
"230","0.319345","172.16.1.66","172.16.1.4","DNS","126","_ldap._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online","Standard query 0x0acb SRV _ldap._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online"
"235","0.342900","172.16.1.66","172.16.1.4","DNS","92","mobile.events.data.microsoft.com","Standard query 0x892b A mobile.events.data.microsoft.com"
"254","0.454906","172.16.1.66","172.16.1.4","DNS","84","wiresharkworkshop.online","Standard query 0x2348 A wiresharkworkshop.online"
"281","0.477949","172.16.1.66","172.16.1.4","DNS","136","_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online","Standard query 0xf0ed SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online"
"292","0.569247","172.16.1.66","172.16.1.4","DNS","83","www.msftconnecttest.com","Standard query 0x06ed A www.msftconnecttest.com"
"293","0.569295","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0x3ea0 A wpad.wiresharkworkshop.online"
"532","1.026549","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0x8280 A wpad.wiresharkworkshop.online"
"626","3.575196","172.16.1.66","172.16.1.4","DNS","76","go.microsoft.com","Standard query 0x51e0 A go.microsoft.com"
"628","4.121831","172.16.1.66","172.16.1.4","DNS","140","_kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online","Standard query 0xd2e9 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online"
"672","4.573585","172.16.1.66","172.16.1.4","DNS","76","go.microsoft.com","Standard query 0x51e0 A go.microsoft.com"
"674","5.012859","172.16.1.66","172.16.1.4","DNS","100","DESKTOP-SKBR25F.wiresharkworkshop.online","Standard query 0x1b00 SOA DESKTOP-SKBR25F.wiresharkworkshop.online"
"676","5.014699","172.16.1.66","172.16.1.4","DNS","176","wiresharkworkshop.online","Dynamic update 0x147d SOA wiresharkworkshop.online CNAME AAAA A A 172.16.1.66"
"680","5.589212","172.16.1.66","172.16.1.4","DNS","76","go.microsoft.com","Standard query 0x51e0 A go.microsoft.com"
"683","7.604993","172.16.1.66","172.16.1.4","DNS","76","go.microsoft.com","Standard query 0x51e0 A go.microsoft.com"
"906","18.547452","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0x5bbd A wpad.wiresharkworkshop.online"
"907","18.547499","172.16.1.66","172.16.1.4","DNS","89","wpad.wiresharkworkshop.online","Standard query 0xeeae A wpad.wiresharkworkshop.online"
"1125","24.865517","172.16.1.66","172.16.1.4","DNS","72","www.bing.com","Standard query 0xa485 A www.bing.com"
"1157","25.573146","172.16.1.66","172.16.1.4","DNS","89","v20.events.data.microsoft.com","Standard query 0x4d4d A v20.events.data.microsoft.com"
"1173","26.026092","172.16.1.66","172.16.1.4","DNS","71","arc.msn.com","Standard query 0xcd81 A arc.msn.com"
"1231","27.045765","172.16.1.66","172.16.1.4","DNS","82","client.wns.windows.com","Standard query 0x3d23 A client.wns.windows.com"
"1232","27.679908","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0x2da8 A assets.msn.com"
"1233","28.060438","172.16.1.66","172.16.1.4","DNS","82","client.wns.windows.com","Standard query 0x3d23 A client.wns.windows.com"
"1239","28.596344","172.16.1.66","172.16.1.4","DNS","86","officeclient.microsoft.com","Standard query 0x1b1f A officeclient.microsoft.com"
"1253","28.705282","172.16.1.66","172.16.1.4","DNS","71","www.msn.com","Standard query 0xe8d1 A www.msn.com"
"1255","28.706325","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0x2da8 A assets.msn.com"
"1356","29.144711","172.16.1.66","172.16.1.4","DNS","82","client.wns.windows.com","Standard query 0x3d23 A client.wns.windows.com"
"1402","29.398460","172.16.1.66","172.16.1.4","DNS","83","odc.officeapps.live.com","Standard query 0x055c A odc.officeapps.live.com"
"1415","29.711944","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0x2da8 A assets.msn.com"
"1447","31.149789","172.16.1.66","172.16.1.4","DNS","82","client.wns.windows.com","Standard query 0x3d23 A client.wns.windows.com"
"1448","31.712334","172.16.1.66","172.16.1.4","DNS","74","assets.msn.com","Standard query 0x2da8 A assets.msn.com"
