"No.","Time","Source","Destination","Protocol","Length","Text item","Resolved IP","DNS Query"
"13","0.020851","172.16.1.4","172.16.1.66","DNS","212","â\234\223","172.16.1.4","Standard query response 0xe971 SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online SRV 0 100 389 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"15","0.023240","172.16.1.4","172.16.1.66","DNS","116","â\234\223","172.16.1.4","Standard query response 0xe494 A wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"33","0.139685","172.16.1.4","172.16.1.66","DNS","212","â\234\223","172.16.1.4","Standard query response 0x8d0b SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online SRV 0 100 389 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"202","0.294067","172.16.1.4","172.16.1.66","DNS","116","â\234\223","172.16.1.4","Standard query response 0xb304 A WIRESHARK-WS-DC.wiresharkworkshop.online A 172.16.1.4"
"231","0.319520","172.16.1.4","172.16.1.66","DNS","202","â\234\223","172.16.1.4","Standard query response 0x0acb SRV _ldap._tcp.Default-First-Site-Name._sites.wiresharkworkshop.online SRV 0 100 389 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"239","0.405819","172.16.1.4","172.16.1.66","DNS","212","â\234\223","20.189.173.16","Standard query response 0x892b A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus17.westus.cloudapp.azure.com A 20.189.173.16"
"255","0.455159","172.16.1.4","172.16.1.66","DNS","100","â\234\223","172.16.1.4","Standard query response 0x2348 A wiresharkworkshop.online A 172.16.1.4"
"282","0.478135","172.16.1.4","172.16.1.66","DNS","212","â\234\223","172.16.1.4","Standard query response 0xf0ed SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online SRV 0 100 389 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"294","0.569591","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0x3ea0 No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"433","0.625060","172.16.1.4","172.16.1.66","DNS","227","â\234\223","23.215.55.140,23.215.55.144","Standard query response 0x06ed A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.215.55.140 A 23.215.55.144"
"533","1.026856","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0x8280 No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"629","4.122326","172.16.1.4","172.16.1.66","DNS","216","â\234\223","172.16.1.4","Standard query response 0xd2e9 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.wiresharkworkshop.online SRV 0 100 88 wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"675","5.013304","172.16.1.4","172.16.1.66","DNS","179","â\234\223","172.16.1.4","Standard query response 0x1b00 SOA DESKTOP-SKBR25F.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online A 172.16.1.4"
"677","5.015813","172.16.1.4","172.16.1.66","DNS","176","â\234\223","172.16.1.66","Dynamic update response 0x147d SOA wiresharkworkshop.online CNAME AAAA A A 172.16.1.66"
"684","7.845953","172.16.1.4","172.16.1.66","DNS","171","â\234\223","23.52.9.222","Standard query response 0x51e0 A go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net A 23.52.9.222"
"908","18.547852","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0x5bbd No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"909","18.547953","172.16.1.4","172.16.1.66","DNS","176","â\234\223","","Standard query response 0xeeae No such name A wpad.wiresharkworkshop.online SOA wireshark-ws-dc.wiresharkworkshop.online"
"1127","24.939949","172.16.1.4","172.16.1.66","DNS","337","â\234\223","23.198.7.175,23.198.7.176,23.198.7.177,23.198.7.167,23.198.7.173,23.198.7.172,23.198.7.169,23.198.7.168,23.198.7.174","Standard query response 0xa485 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.198.7.175 A 23.198.7.176 A 23.198.7.177 A 23.198.7.167 A 23.198.7.173 A 23.198.7.172 A 23.198.7.169 A 23.198.7.168 A 23.198.7.174"
"1158","25.624967","172.16.1.4","172.16.1.66","DNS","231","â\234\223","13.69.239.79","Standard query response 0x4d4d A v20.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdneu12.northeurope.cloudapp.azure.com A 13.69.239.79"
"1176","26.091203","172.16.1.4","172.16.1.66","DNS","186","â\234\223","20.96.153.111","Standard query response 0xcd81 A arc.msn.com CNAME arc.trafficmanager.net CNAME iris-de-prod-azsc-v2-eus2.eastus2.cloudapp.azure.com A 20.96.153.111"
