"No.","Time","Source","Protocol","Length","Info","TLS SNI","Destination"
"289","0.510957","172.16.1.66","TLSv1.3","342","Client Hello","mobile.events.data.microsoft.com","20.189.173.16"
"346","0.603535","172.16.1.66","TLSv1.3","413","Change Cipher Spec, Client Hello","mobile.events.data.microsoft.com","20.189.173.16"
"688","7.934171","172.16.1.66","TLSv1.3","344","Client Hello","go.microsoft.com","23.52.9.222"
"713","8.361492","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"735","8.676857","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"755","9.010209","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"779","9.328407","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"800","9.606364","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"820","9.911938","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"841","10.203532","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"860","10.527907","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"880","10.822083","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"1131","24.993315","172.16.1.66","TLSv1.3","340","Client Hello","www.bing.com","23.198.7.175"
"1162","25.830756","172.16.1.66","TLSv1.2","266","Client Hello","v20.events.data.microsoft.com","13.69.239.79"
"1171","26.022137","172.16.1.66","TLSv1.3","647","Client Hello","go.microsoft.com","23.52.9.222"
"1190","26.179621","172.16.1.66","TLSv1.2","339","Client Hello","arc.msn.com","20.96.153.111"
"1237","28.593927","172.16.1.66","TLSv1.3","340","Client Hello","www.bing.com","23.198.7.175"
"1298","28.920985","172.16.1.66","TLSv1.2","354","Client Hello","officeclient.microsoft.com","52.109.6.53"
"1308","28.924675","172.16.1.66","TLSv1.3","339","Client Hello","www.msn.com","204.79.197.203"
"1354","29.144295","172.16.1.66","TLSv1.3","410","Change Cipher Spec, Client Hello","www.msn.com","204.79.197.203"
"1418","29.731553","172.16.1.66","TLSv1.2","351","Client Hello","odc.officeapps.live.com","52.109.0.142"
"1455","34.420925","172.16.1.66","TLSv1.2","333","Client Hello","odc.officeapps.live.com","52.109.0.142"
"1459","34.493789","172.16.1.66","TLSv1.2","320","Client Hello","g.live.com","20.241.44.114"
"1498","34.877721","172.16.1.66","TLSv1.2","326","Client Hello","oneclient.sfx.ms","23.52.9.140"
"1523","35.215780","172.16.1.66","TLSv1.2","232","Client Hello","client.wns.windows.com","20.7.2.167"
"1527","35.258070","172.16.1.66","TLSv1.3","324","Client Hello","assets.msn.com","23.48.203.208"
"1531","35.267351","172.16.1.66","TLSv1.3","342","Client Hello","assets.msn.com","23.48.203.208"
"1671","38.758074","172.16.1.66","TLSv1.3","324","Client Hello","default.exp-tas.com","13.107.5.93"
"1676","38.841350","172.16.1.66","TLSv1.3","395","Change Cipher Spec, Client Hello","default.exp-tas.com","13.107.5.93"
"1719","43.147696","172.16.1.66","TLSv1.3","324","Client Hello","assets.msn.com","23.48.203.208"
"1729","43.221067","172.16.1.66","TLSv1.3","324","Client Hello","assets.msn.com","23.48.203.208"
"1832","64.206416","172.16.1.66","TLSv1.2","324","Client Hello","github.com","140.82.113.3"
"1862","64.866965","172.16.1.66","TLSv1.2","343","Client Hello","objects.githubusercontent.com","185.199.110.133"
"2515","68.046933","172.16.1.66","TLSv1.2","329","Client Hello","repo1.maven.org","199.232.196.209"
"2521","68.068587","172.16.1.66","TLSv1.2","329","Client Hello","repo1.maven.org","199.232.196.209"
"2523","68.069069","172.16.1.66","TLSv1.2","329","Client Hello","repo1.maven.org","199.232.196.209"
"9167","82.967536","172.16.1.66","TLSv1.2","268","Client Hello","settings-win.data.microsoft.com","52.191.219.104"
"9215","83.429182","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9217","83.431552","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9219","83.438175","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9221","83.443463","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9223","83.446182","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9225","83.447052","172.16.1.66","TLSv1.3","339","Client Hello","th.bing.com","23.198.7.177"
"9505","85.407395","172.16.1.66","TLSv1.3","353","Client Hello","login.microsoftonline.com","40.126.29.14"
"9509","85.463150","172.16.1.66","TLSv1.3","424","Change Cipher Spec, Client Hello","login.microsoftonline.com","40.126.29.14"
"9544","96.812922","172.16.1.66","TLSv1.3","324","Client Hello","assets.msn.com","23.48.203.203"
"9705","110.147543","172.16.1.66","TLSv1.3","353","Client Hello","login.microsoftonline.com","40.126.29.14"
